Package,LibPath,Version,Priority,Built
stats4,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,3.3.3,base,3.3.3
stringi,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.1.6,NA,3.3.2
stringr,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.2.0,NA,3.3.3
styler,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.0.0,NA,3.3.2
survey,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,3.33,NA,3.3.3
survival,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,2.41-3,recommended,3.3.2
svglite,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.2.1,NA,3.3.2
tcltk,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,3.3.3,base,3.3.3
tensor,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.5,NA,3.3.0
testthat,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,2.0.0,NA,3.3.2
TH.data,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.0-8,NA,3.3.2
threejs,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.3.1,NA,3.3.2
tibble,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.4.2,NA,3.3.3
tidyr,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.7.2,NA,3.3.2
tidyselect,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.2.3,NA,3.3.2
tidyverse,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.2.1,NA,3.3.3
tkrplot,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.0-23,NA,3.3.0
tools,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,3.3.3,base,3.3.3
truncnorm,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.0-7,NA,3.3.0
twang,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.5,NA,3.3.2
usethis,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.2.0,NA,3.3.3
